#ID;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_azotoformans;180;137;20;5;0;4;1;1;0;1;217;111;9;7;0;1;0;0;1;1;32;33
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_extorquens;26;108;66;50;1;1;0;0;16;16;59;111;75;30;3;0;0;0;28;24;86;393
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_wittichii;69;193;114;42;1;0;1;0;44;22;101;110;162;48;1;1;0;0;40;32;0;158
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_yanoikuyae;57;95;73;53;1;1;0;0;13;7;65;108;47;47;0;1;0;0;21;16;49;13
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_mannitolilytica;45;93;81;46;3;2;0;2;24;14;55;108;75;51;1;3;1;1;38;23;1458;2641
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_pseudomallei;59;113;85;55;1;0;0;2;25;14;64;102;86;66;0;0;0;0;19;20;14;74
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia|s__Delftia_acidovorans;88;153;69;57;32;13;18;6;28;56;134;101;49;87;22;19;19;18;43;42;92;386
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._HSISM1;3;85;19;4;0;2;19;0;0;1;1;101;13;12;0;1;1;0;3;0;0;1
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_doricum;13;84;9;28;4;1;2;3;0;8;44;101;3;22;0;1;0;3;1;8;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis;10;76;33;16;1;0;212;0;7;4;56;100;29;17;0;4;20;2;10;9;91;0
